62.173,-1712
63.173,-1744
64.173,3928
65.173,6052
66.174,2688
67.173,6912
68.174,-102
69.173,6650
70.173,2914
71.173,6294
72.173,-78
73.173,-3132
74.173,170
75.174,4820
76.173,2598
77.173,434
78.173,-470
79.173,4286
80.173,6596
81.173,2434
82.174,-28
83.173,-2880
84.174,1200
85.173,4232
86.173,4364
87.173,-228
88.173,4382
89.174,2814
90.173,312
91.174,6498
92.173,2292
93.173,1824
94.173,7850
95.173,358
96.174,372
97.173,-2080
98.174,3796
99.173,1422
100.174,-3476
101.173,-756
102.173,-932
103.173,-5368
104.173,-1126
105.174,3600
106.173,5740
107.174,8302
108.173,1470
109.173,-1366
110.173,-3798
111.173,4606
112.174,7254
113.173,9032
114.174,12634
115.173,13814
116.174,13824
117.173,88
118.173,-756
119.174,-2566
120.173,-3132
121.174,-3066
122.173,346
123.174,4082
124.173,-764
125.173,2280
126.174,6850
127.173,10830
128.174,13416
129.173,22074
130.174,19890
131.173,21180
132.174,9230
133.174,1326
134.173,266
135.174,-1128
136.173,-6684
137.174,-2510
138.173,-338
139.174,750
140.174,-2312
141.173,-3846
142.174,-292
143.173,10928
144.174,1726
145.173,-700
146.174,4472
147.174,-2634
148.174,6480
149.174,10954
150.173,-1898
151.174,10534
152.173,1770
153.174,-2362
154.173,13910
155.174,-4456
156.174,9544
157.173,-3014
158.174,10814
159.173,18598
160.174,5618
161.173,598
162.174,7064
163.174,14824
164.174,4046
165.174,-2092
166.173,7748
167.174,9472
168.173,-2942
169.174,4340
170.174,6814
171.174,528
172.174,8048
173.173,-1750
174.174,7796
175.173,13400
176.174,1710
177.174,8982
178.174,1656
179.174,4016
180.174,-410
181.174,-3208
182.173,5058
183.174,-5268
184.174,8040
185.174,-3794
186.174,7934
187.174,12668
188.174,7374
189.173,-56
190.174,5116
191.173,-7844
192.174,8744
193.174,15070
194.174,15608
195.174,4980
196.174,-882
197.174,5522
198.173,10568
199.174,16000
200.174,18864
201.174,20496
202.174,1346
203.174,3414
204.174,6678
205.173,2072
206.174,5342
207.174,8514
208.174,12922
209.174,18864
210.174,9526
211.174,-1808
212.174,-4538
213.174,15854
214.174,10508
215.174,-338
216.174,8474
217.174,654
218.174,9784
219.174,-2994
220.174,2796
221.174,-288
222.174,782
223.174,560
224.174,7658
225.174,6928
226.174,3458
227.174,306
228.175,-3716
229.174,3002
230.174,7620
231.174,-1756
232.174,8046
233.174,11402
234.174,-460
235.174,8492
236.174,-3052
237.174,13454
238.174,18766
239.174,20470
240.174,904
241.174,2390
242.174,6862
243.174,-7634
244.175,5598
245.174,-1648
246.174,7300
247.174,-792
248.174,8944
249.174,-3198
250.174,-2928
251.175,-2568
252.174,-1834
253.174,-2376
254.174,-3506
255.174,-700
256.174,4670
257.174,2914
258.175,4854
259.174,7244
260.175,10560
261.174,-2458
262.174,8236
263.174,13104
264.174,-3604
265.175,11848
266.174,-3978
267.175,-3794
268.174,-3870
269.174,-3736
270.174,-3682
